LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
MEX,LF,TOT,THND_PER,A,2005,43631.5,
MEX,LF,TOT,THND_PER,A,2006,44982.52,
MEX,LF,TOT,THND_PER,A,2007,45904.54,
MEX,LF,TOT,THND_PER,A,2008,46769.21,
MEX,LF,TOT,THND_PER,A,2009,48018.36,
MEX,LF,TOT,THND_PER,A,2010,48717.79,
MEX,LF,TOT,THND_PER,A,2011,49721.7,
MEX,LF,TOT,THND_PER,A,2012,51228.77,
MEX,LF,TOT,THND_PER,A,2013,51787.09,
MEX,LF,TOT,THND_PER,A,2014,51924.05,
MEX,LF,TOT,THND_PER,A,2015,52905.13,
MEX,LF,TOT,THND_PER,A,2016,53679.95,
MEX,LF,TOT,THND_PER,A,2017,54204.27,
MEX,LF,TOT,THND_PER,A,2018,55554.91,
FRA,LF,TOT,THND_PER,A,1980,22661,
FRA,LF,TOT,THND_PER,A,1981,22790,B
FRA,LF,TOT,THND_PER,A,1982,22973,
FRA,LF,TOT,THND_PER,A,1983,23037,
FRA,LF,TOT,THND_PER,A,1984,23147,
FRA,LF,TOT,THND_PER,A,1985,23206.09,
FRA,LF,TOT,THND_PER,A,1986,23353.58,
FRA,LF,TOT,THND_PER,A,1987,23467.53,
FRA,LF,TOT,THND_PER,A,1988,23594.38,
FRA,LF,TOT,THND_PER,A,1989,23786,
FRA,LF,TOT,THND_PER,A,1990,24953.46,
FRA,LF,TOT,THND_PER,A,1991,25020.35,
FRA,LF,TOT,THND_PER,A,1992,25143.29,
FRA,LF,TOT,THND_PER,A,1993,25105.2,
FRA,LF,TOT,THND_PER,A,1994,25293.89,
FRA,LF,TOT,THND_PER,A,1995,25356.76,
FRA,LF,TOT,THND_PER,A,1996,25568.49,
FRA,LF,TOT,THND_PER,A,1997,25731.05,
FRA,LF,TOT,THND_PER,A,1998,26053.51,
FRA,LF,TOT,THND_PER,A,1999,26480.29,
FRA,LF,TOT,THND_PER,A,2000,26762.81,
FRA,LF,TOT,THND_PER,A,2001,27049.8,
